2023-11-01,Wednesday,40,100,90
2023-11-02,Thursday,40,100,100
2023-11-03,Friday,40,100,100
2023-11-04,Saturday,60,100,100
2023-11-05,Sunday,60,100,100
2023-11-06,Monday,40,100,100
2023-11-07,Tuesday,40,100,100
2023-11-08,Wednesday,40,100,100
2023-11-09,Thursday,40,100,100
2023-11-10,Friday,40,100,100
2023-11-11,Saturday,60,100,100
2023-11-12,Sunday,60,100,90
2023-11-13,Monday,40,100,100
2023-11-14,Tuesday,40,100,100
2023-11-15,Wednesday,40,100,100
2023-11-16,Thursday,40,100,100
2023-11-17,Friday,40,100,100
2023-11-18,Saturday,60,100,100
2023-11-19,Sunday,60,100,100
2023-11-20,Monday,60,100,100
2023-11-21,Tuesday,60,100,100
2023-11-22,Wednesday,60,100,100
2023-11-23,Thursday,60,100,100
2023-11-24,Friday,60,100,100
2023-11-25,Saturday,60,100,100
2023-11-26,Sunday,60,100,100
2023-11-27,Monday,60,100,100
2023-11-28,Tuesday,60,100,100
2023-11-29,Wednesday,60,100,100
2023-11-30,Thursday,60,100,100
2023-12-01,Friday,60,100,100
2023-12-02,Saturday,60,100,100
2023-12-03,Sunday,60,100,100
2023-12-04,Monday,60,100,100
2023-12-05,Tuesday,60,100,100
2023-12-06,Wednesday,60,100,100
2023-12-07,Thursday,60,100,100
2023-12-08,Friday,60,100,100
2023-12-09,Saturday,60,100,100
2023-12-10,Sunday,60,100,100
2023-12-11,Monday,60,100,100
2023-12-12,Tuesday,60,100,100
2023-12-13,Wednesday,60,100,100
2023-12-14,Thursday,60,100,100
2023-12-15,Friday,60,100,100
2023-12-16,Saturday,60,100,100
2023-12-17,Sunday,60,100,100
2023-12-18,Monday,60,100,100
2023-12-19,Tuesday,60,100,100
2023-12-20,Wednesday,60,100,90
2023-12-21,Thursday,60,100,100
2023-12-22,Friday,60,100,100
2023-12-23,Saturday,60,100,100
2023-12-24,Sunday,60,100,100
2023-12-25,Monday,60,100,90
2023-12-26,Tuesday,60,100,100
2023-12-27,Wednesday,60,100,100
2023-12-28,Thursday,60,100,100
2023-12-29,Friday,60,100,100
2023-12-30,Saturday,60,100,100
2023-12-31,Sunday,60,100,100
